date,location,sales,payment_method
2023-10-09,Cairo,2137,debit card
2023-10-14,Cairo,1819,mobile payment
2023-01-14,Amsterdam,2908,mobile payment
2023-01-19,Toronto,1985,debit card
2023-11-13,Mexico City,2756,mobile payment
2023-09-23,Moscow,1170,bank transfer
2023-10-29,Mexico City,2205,debit card
2023-03-18,Mexico City,1750,cryptocurrency
2023-01-11,Paris,476,credit card
2023-09-20,Dubai,2540,credit card
2023-01-05,Paris,2032,cryptocurrency
2023-04-08,Barcelona,2786,bank transfer
2023-06-09,Barcelona,2578,cash
2023-05-17,London,4697,mobile payment
2023-08-28,Bangkok,3253,mobile payment
2023-10-06,Bangkok,1989,voucher
2023-07-30,Seoul,2248,bank transfer
2023-08-01,Berlin,1356,cash
2023-01-24,Seoul,721,bank transfer
2023-03-16,Mumbai,295,credit card
2023-05-18,London,743,bank transfer
2023-04-12,Bangkok,4722,voucher
2023-01-04,Seoul,1125,debit card
2023-09-30,Mexico City,877,mobile payment
2023-08-05,Sydney,4911,cash
2023-09-07,Istanbul,81,cryptocurrency
2023-01-12,Toronto,2860,cryptocurrency
2023-08-26,Amsterdam,2429,credit card
2023-11-10,New York,4351,mobile payment
2023-11-02,Amsterdam,1361,bank transfer
2023-12-05,Istanbul,4096,debit card
2023-03-24,Toronto,905,cash
2023-05-17,Tokyo,3913,credit card
2023-06-13,Mexico City,4125,bank transfer
2023-01-18,Amsterdam,677,debit card
2023-04-23,Berlin,3690,debit card
2023-01-31,Amsterdam,3726,bank transfer
2023-03-08,Amsterdam,4678,bank transfer
2023-12-25,New York,4316,mobile payment
2023-09-14,Mexico City,271,bank transfer
2023-07-07,Bangkok,2622,debit card
2023-01-05,Lagos,4383,credit card
2023-05-14,Seoul,2312,bank transfer
2023-03-26,Bangkok,2111,credit card
2023-07-21,Barcelona,3678,cryptocurrency
2023-04-21,Amsterdam,3507,mobile payment
2023-09-04,Berlin,602,mobile payment
2023-03-03,Rome,3599,cryptocurrency
2023-04-02,Amsterdam,657,debit card
2023-09-22,São Paulo,3362,cash
2023-07-17,Moscow,1118,debit card
2023-03-30,Rome,2785,debit card
2023-05-17,Moscow,4438,cash
2023-11-12,Dubai,2298,voucher
2023-05-06,São Paulo,2581,mobile payment
2023-04-26,Moscow,1355,cryptocurrency
2023-02-21,Istanbul,4006,mobile payment
2023-07-31,Paris,2771,cryptocurrency
2023-10-12,London,3088,voucher
2023-05-20,Bangkok,4773,voucher
2023-11-03,Lagos,709,cash
2023-06-05,Rome,1255,mobile payment
2023-09-22,Sydney,72,cryptocurrency
2023-04-04,Cairo,3514,cash
2023-11-03,Tokyo,4972,mobile payment
2023-05-25,Seoul,3934,debit card
2023-01-30,Sydney,2719,mobile payment
2023-01-09,Sydney,557,credit card
2023-07-12,Tokyo,4398,credit card
2023-02-03,Rome,1871,credit card
2023-12-05,Seoul,2257,mobile payment
2023-12-27,Amsterdam,2933,bank transfer
2023-05-05,Amsterdam,1734,mobile payment
2023-11-16,Moscow,2411,voucher
2023-10-12,Amsterdam,1746,mobile payment
2023-02-08,Dubai,3852,cash
2023-05-03,Dubai,2169,cryptocurrency
2023-09-12,Paris,3394,voucher
2023-07-09,Seoul,635,cash
2023-06-30,Tokyo,4870,credit card
2023-03-02,Bangkok,1036,debit card
2023-05-26,Istanbul,1109,cryptocurrency
2023-03-02,Istanbul,3040,bank transfer
2023-11-29,Barcelona,4843,voucher
2023-12-07,Seoul,4883,voucher
2023-07-29,Paris,3565,mobile payment
2023-09-20,Mumbai,3894,debit card
2023-11-22,Rome,2840,debit card
2023-09-19,Mumbai,365,credit card
2023-05-26,Barcelona,919,cryptocurrency
2023-06-06,Dubai,3756,cash
2023-08-06,Mumbai,380,cash
2023-10-12,Barcelona,3733,cash
2023-04-14,Sydney,4325,bank transfer
2023-05-28,Moscow,4681,cryptocurrency
2023-03-26,Barcelona,496,bank transfer
2023-11-11,Bangkok,3676,voucher
2023-01-03,London,4300,mobile payment
2023-04-01,Paris,4752,mobile payment
2023-01-12,Lagos,3551,debit card
2023-09-29,Sydney,3974,cryptocurrency
2023-07-08,Cairo,3820,cash
2023-04-22,Mexico City,3327,bank transfer
2023-02-26,Amsterdam,3914,mobile payment
2023-04-28,Dubai,2414,cash
2023-11-25,Seoul,3144,credit card
2023-06-13,Mexico City,55,bank transfer
2023-04-30,Berlin,2081,debit card
2023-06-16,Sydney,2985,debit card
2023-05-24,Paris,1098,credit card
2023-05-17,Sydney,4494,mobile payment
2023-04-27,Tokyo,4600,bank transfer
2023-10-05,Dubai,34,bank transfer
2023-02-17,Cairo,3234,mobile payment
2023-12-03,Toronto,169,credit card
2023-07-07,Sydney,1356,debit card
2023-01-02,Sydney,1172,voucher
2023-07-10,Sydney,1852,credit card
2023-09-03,Amsterdam,989,bank transfer
2023-02-09,Moscow,1725,debit card
2023-10-18,Amsterdam,1262,cryptocurrency
